Date,open,high,low,close,volume,daily_return,volatility,ma_50,ma_200,open_outlier,high_outlier,low_outlier,close_outlier,price_consistency
1/3/2022,605.61,609.99,590.56,597.37,3068808,-0.84,1.37,640.6854,565.25275,FALSE,FALSE,FALSE,FALSE,TRUE
1/4/2022,599.91,600.41,581.6,591.15,4393135,-1.04,1.32,639.2128,565.59295,FALSE,FALSE,FALSE,FALSE,TRUE
1/5/2022,592,592.84,566.88,567.52,4148749,-4,1.46,637.13,565.7551,FALSE,FALSE,FALSE,FALSE,TRUE
1/6/2022,554.34,563.36,542.01,553.29,5711795,-2.51,1.52,634.8254,565.9175,FALSE,FALSE,FALSE,FALSE,TRUE
1/7/2022,549.46,553.43,538.22,541.06,3382873,-2.21,1.48,632.3882,566.1085,FALSE,FALSE,FALSE,FALSE,TRUE
1/10/2022,538.49,543.69,526.32,539.85,4486145,-0.22,1.48,629.7042,566.2675,FALSE,FALSE,FALSE,FALSE,TRUE
1/11/2022,536.99,543.91,530.07,540.84,3063783,0.18,1.48,626.7148,566.40195,FALSE,FALSE,FALSE,FALSE,TRUE
1/12/2022,544.27,544.27,532.02,537.22,3787372,-0.67,1.47,623.8358,566.5211,FALSE,FALSE,FALSE,FALSE,TRUE
1/13/2022,537.06,540.79,518.26,519.2,4475063,-3.35,1.55,620.6654,566.5088,FALSE,FALSE,FALSE,FALSE,TRUE
1/14/2022,517.6,538.37,511.88,525.69,7861109,1.25,1.56,617.4134,566.44015,FALSE,FALSE,FALSE,FALSE,TRUE
1/18/2022,520.08,521.75,508.68,510.8,4772067,-2.83,1.64,614.2614,566.2908,FALSE,FALSE,FALSE,FALSE,TRUE
1/19/2022,515,523.21,510.51,515.86,4226987,0.99,1.63,611.6642,566.14745,FALSE,FALSE,FALSE,FALSE,TRUE
1/20/2022,517.75,526.64,506.93,508.25,12658993,-1.48,1.52,608.8002,565.95375,FALSE,FALSE,FALSE,FALSE,TRUE
1/21/2022,400.42,409.15,379.99,397.5,58904266,-21.79,4.86,603.6304,565.16835,FALSE,FALSE,FALSE,FALSE,TRUE
1/24/2022,383.91,387.26,351.46,387.15,32386782,-2.6,4.84,598.4352,564.32755,FALSE,FALSE,FALSE,FALSE,TRUE
1/25/2022,379.14,387.71,365.13,366.42,15145816,-5.35,4.87,592.612,563.39575,FALSE,FALSE,FALSE,FALSE,TRUE
1/26/2022,378.27,382.66,356.62,359.7,12683981,-1.83,4.85,586.1538,562.4256,FALSE,FALSE,FALSE,FALSE,TRUE
1/27/2022,382.06,394.8,378.1,386.7,24324747,7.51,5.32,580.3012,561.659,FALSE,FALSE,FALSE,FALSE,TRUE
1/28/2022,386.76,387,372.08,384.36,11966605,-0.61,5.3,574.2404,560.8347,FALSE,FALSE,FALSE,FALSE,TRUE
1/31/2022,401.97,427.7,398.2,427.14,20047452,11.13,6.08,568.9494,560.2377,FALSE,FALSE,FALSE,FALSE,TRUE
2/1/2022,432.96,458.48,425.54,457.13,22568099,7.02,6.37,564.4516,559.75115,FALSE,FALSE,FALSE,FALSE,TRUE
2/2/2022,448.25,451.98,426.48,429.48,14346010,-6.05,6.47,559.4652,559.1507,FALSE,FALSE,FALSE,FALSE,TRUE
2/3/2022,421.44,429.26,404.28,405.6,9905210,-5.56,6.51,554.3932,558.6342,FALSE,FALSE,FALSE,FALSE,TRUE
2/4/2022,407.31,412.77,396.64,410.17,7789798,1.13,6.53,549.5154,558.14115,FALSE,FALSE,FALSE,FALSE,TRUE
2/7/2022,410.17,412.35,393.55,402.1,8232859,-1.97,6.53,544.3916,557.6239,FALSE,FALSE,FALSE,FALSE,TRUE
2/8/2022,398.18,406.61,395.83,403.53,6818543,0.36,6.53,539.1494,557.09005,FALSE,FALSE,FALSE,FALSE,TRUE
2/9/2022,408.65,412.98,398.79,412.89,7738227,2.32,6.57,534.1304,556.62675,FALSE,FALSE,FALSE,FALSE,TRUE
2/10/2022,402.1,408,396.36,406.27,8452915,-1.6,6.57,529.4178,556.1255,FALSE,FALSE,FALSE,FALSE,TRUE
2/11/2022,405.33,411.61,387.65,391.31,7558939,-3.68,6.58,524.8886,555.53705,FALSE,FALSE,FALSE,FALSE,TRUE
2/14/2022,387.59,409.36,386.89,396.57,7202155,1.34,6.58,520.4906,554.95255,FALSE,FALSE,FALSE,FALSE,TRUE
2/15/2022,403.79,409.16,401.01,407.46,5395641,2.75,6.63,516.5972,554.4443,FALSE,FALSE,FALSE,FALSE,TRUE
2/16/2022,401.53,401.56,390.38,398.08,5277650,-2.3,6.62,512.305,553.9188,FALSE,FALSE,FALSE,FALSE,TRUE
2/17/2022,394.24,399.11,385.7,386.67,4669222,-2.87,6.63,507.5268,553.37175,FALSE,FALSE,FALSE,FALSE,TRUE
2/18/2022,392.53,402.87,389.05,391.29,6801668,1.19,4.51,502.791,552.83045,FALSE,FALSE,FALSE,FALSE,TRUE
2/22/2022,388.95,392.42,373.02,377.38,6664974,-3.55,4.55,498.1186,552.19815,FALSE,FALSE,FALSE,FALSE,TRUE
2/23/2022,382.72,386,366.66,367.46,4614290,-2.63,4.42,493.2346,551.602,FALSE,FALSE,FALSE,FALSE,TRUE
2/24/2022,355.09,390.73,354.72,390.03,7068724,6.14,4.59,488.944,551.07675,FALSE,FALSE,FALSE,FALSE,TRUE
2/25/2022,386.61,391.29,375.58,390.8,4841636,0.2,4.29,484.8002,550.60585,FALSE,FALSE,FALSE,FALSE,TRUE
2/28/2022,387.33,397.75,382.13,394.52,5035046,0.95,4.29,480.5898,550.14515,FALSE,FALSE,FALSE,FALSE,TRUE
3/1/2022,391.6,395,383.7,386.24,3290439,-2.1,3.45,476.4934,549.6095,FALSE,FALSE,FALSE,FALSE,TRUE
3/2/2022,388.93,389.22,375.21,380.03,5356809,-1.61,2.98,472.3594,549.06495,FALSE,FALSE,FALSE,FALSE,TRUE
3/3/2022,386,386.12,364.65,368.07,6076836,-3.15,2.78,467.846,548.4739,FALSE,FALSE,FALSE,FALSE,TRUE
3/4/2022,368,374.82,357.17,361.73,5329180,-1.72,2.55,462.9822,547.84405,FALSE,FALSE,FALSE,FALSE,TRUE
3/7/2022,360.41,362,350.2,350.26,5708383,-3.17,2.58,457.7026,547.087,FALSE,FALSE,FALSE,FALSE,TRUE
3/8/2022,349.8,358.86,340.67,341.76,6428655,-2.43,2.59,452.256,546.30635,FALSE,FALSE,FALSE,FALSE,TRUE
3/9/2022,357.68,364.14,350.51,358.79,6520186,4.98,2.89,447.1694,545.5858,FALSE,FALSE,FALSE,FALSE,TRUE
3/10/2022,356.2,367.02,353.3,356.77,4807767,-0.56,2.81,442.0906,544.86295,FALSE,FALSE,FALSE,FALSE,TRUE
3/11/2022,361.19,363.36,340,340.32,4819925,-4.61,2.94,436.6862,544.05275,FALSE,FALSE,FALSE,FALSE,TRUE
3/14/2022,338.72,341.32,329.82,331.01,5907817,-2.74,2.9,431.0646,543.1885,FALSE,FALSE,FALSE,FALSE,TRUE
3/15/2022,335.1,345.36,332.36,343.75,5460640,3.85,3.05,425.8908,542.3932,FALSE,FALSE,FALSE,FALSE,TRUE
3/16/2022,348.2,359.99,343.06,357.53,6982469,4.01,3.13,421.094,541.68545,FALSE,FALSE,FALSE,FALSE,TRUE
